Some(3854433118590572	每次购物结束总是会觉得少买了一件，大家是不是和我一样<i class="face face_1 icon_20">[doge]</i>[纠结][纠结]天猫<a class="k" href="/k/%E7%9C%9F%E6%96%B0%E4%BE%BF%E5%AE%9C?from=feed">#真新便宜#</a> ！还有哦，今天晚上，<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a>等大家～～[羞嗒嗒]今天先穿我们长留学院滴校服出来转转[杰克逊]	1259110474	赵丽颖	iPhone 6	06-16 18:52	null	null	23334	8782	136675	[4b0c804ajw1et64djzz3hj20dw0om41v]	真新便宜 花千骨
3857204098454559	<a class="k" href="/k/%E5%B0%8A%E4%B8%8A%E4%B9%88%E4%B9%88%E5%93%92?from=feed">#尊上么么哒#</a> <a class="k" href="/k/%E9%9C%8D%E5%BB%BA%E5%8D%8E%E7%99%BD%E5%AD%90%E7%94%BB?from=feed">#霍建华白子画#</a> <a class="k" href="/k/%E9%9C%8D%E5%BB%BA%E5%8D%8E?from=feed">#霍建华#</a> <i class="face face_3 icon_11">[威武]</i><a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a> 收视再创新高<i class="face face_1 icon_27">[鼓掌]</i>师父带收视高飞[尊上么么哒][尊上么么哒]<a href="/n/%E7%94%B5%E8%A7%86%E5%89%A7%E8%8A%B1%E5%8D%83%E9%AA%A8">@电视剧花千骨</a><a href="/n/%E5%8D%8E%E6%9D%B0%E5%B7%A5%E4%BD%9C%E5%AE%A4">@华杰工作室</a><a href="/n/%E9%95%BF%E7%95%99%E4%B8%8A%E4%BB%99_%E7%99%BD%E5%AD%90%E7%94%BB">@长留上仙_白子画</a> <a class="k" href="/k/%E4%B8%8A%E4%BB%99%E8%AF%B7%E6%94%B6%E6%88%91%E4%B8%BA%E5%BE%92?from=feed">#上仙请收我为徒#</a> 	1918601565	霍建华贴吧	微博桌面	今天 10:23	3857201536138255	null	41	30	354	[]	尊上么么哒 霍建华白子画 霍建华 花千骨 上仙请收我为徒 卫视这些事儿 花千骨 偏偏喜欢你 两生花
3857212453892009	<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a> 尊上，糖宝的宫铃掉了！！！！！	5099675590	电视剧花千骨	微博 weibo.com	今天 10:56	null	null	363	387	1368	[005z7IA6gw1etezotpofrj31jk1117dh]	花千骨
3855026399725775	早上好大家，今天中午12点—13点，即将做客 <a href="/n/%E4%BC%98%E9%85%B7">@优酷</a> <a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a><a class="k" href="/k/%E9%A9%AC%E5%8F%AF%E6%9D%80%E9%98%A1%E9%99%8C?from=feed">#马可杀阡陌#</a>第八集评论区，我们继续各种聊[拍照]<i class="face face_1 icon_4">[爱你]</i> <a data-url="http://t.cn/R2EVaOh" href="http://v.youku.com/v_show/id_XMTI2NDgzNDY3Ng==.html?ep=Cn5ufEO7l%2C1309248901%2CCn5ufEO7l%2C1309248901" class="btn btn-normal btn-surl"><i class="iconimg iconimg-xxs"><img src="http://u1.sinaimg.cn/upload/2014/10/16/timeline_card_small_video_default.png"></i><span class="surl-text">花千骨 08</span></a>	1309248901	演员马可	iPhone 6	06-18 10:09	null	null	840	5041	22218	[4e098d85jw1et80qnbu74j20hs15on5g]	花千骨 马可杀阡陌
3857226437926487	<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a> 单身虫受到了一万点伤害<i class="face face_2 icon_20">[拜拜]</i><i class="face face_2 icon_20">[拜拜]</i>	5099675590	电视剧花千骨	微博 weibo.com	6分钟前	3857225774872947	null	39	30	204	[]	花千骨 花千骨 花千骨赵丽颖
3857225606695199	<a class="k" href="/k/%E4%B8%8A%E4%BB%99%E8%AF%B7%E6%94%B6%E6%88%91%E4%B8%BA%E5%BE%92?from=feed">#上仙请收我为徒#</a> <a class="k" href="/k/%E9%9C%8D%E5%BB%BA%E5%8D%8E?from=feed">#霍建华#</a> <a class="k" href="/k/%E4%BD%A0%E7%9A%84%E5%AE%AB%E9%93%83%E6%8E%89%E4%BA%86?from=feed">#你的宫铃掉了#</a> 师父好温柔<i class="face face_1 icon_15">[害羞]</i>[尊上么么哒]<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a> <a class="k" href="/k/%E9%9C%8D%E5%BB%BA%E5%8D%8E%E7%99%BD%E5%AD%90%E7%94%BB?from=feed">#霍建华白子画#</a> <a class="k" href="/k/%E6%AD%A4%E7%94%9F%E5%8F%AA%E6%94%B6%E4%B8%80%E4%B8%AA%E5%BE%92%E5%BC%9F?from=feed">#此生只收一个徒弟#</a>	1918601565	霍建华贴吧	微博桌面	9分钟前	3857214718716066	null	52	35	219	[]	上仙请收我为徒 霍建华 你的宫铃掉了 花千骨 霍建华白子画 此生只收一个徒弟 花千骨 你的宫铃掉了
3857227804315489	<a class="k" href="/k/%E6%B4%9B%E5%8F%AF%E5%8F%AF%E5%A9%9A%E7%BA%B1%E6%91%84%E5%BD%B1?from=feed">#洛可可婚纱摄影#</a>幸福，就是当激情退去、容颜衰老，牵你的还是那双不怨悔的手。陪你的还是那颗不回头的心。暖你的还是那份不冷却的情。<a class="k" href="/k/%E5%A4%A7%E8%BF%9E%E5%A9%9A%E7%BA%B1%E7%85%A7?from=feed">#大连婚纱照#</a><a class="k" href="/k/%E4%B8%89%E4%BA%9A%E5%A9%9A%E7%BA%B1%E7%85%A7?from=feed">#三亚婚纱照#</a><a class="k" href="/k/%E6%B5%8E%E5%B7%9E%E5%B2%9B%E6%97%85%E6%B8%B8?from=feed">#济州岛旅游#</a> <a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a>	5619421448	洛可可婚纱摄影2015	微博 weibo.com	1分钟前	null	null	0	0	0	[0068iwdOtw1etf1l0bje7j30hs0hsdka,0068iwdOtw1etf1l1o7vaj30hs0hsn07,0068iwdOtw1etf1l364inj30hs0hstci,0068iwdOtw1etf1l4rmj0j30hs0hsaej,0068iwdOtw1etf1l5ultgj30hs0hs77k,0068iwdOtw1etf1l75eq2j30hs0hs779,0068iwdOtw1etf1l8hsytj30hs0hsq67,0068iwdOtw1etf1l9t8rzj30hs0hsq5q,0068iwdOtw1etf1lbg94cj30hs0hsgph]	洛可可婚纱摄影 大连婚纱照 三亚婚纱照 济州岛旅游 花千骨
3849549305110911	<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a> 就这样紧紧地扣住～团结就是力量！<i class="face face_1 icon_2">[嘻嘻]</i><i class="face face_3 icon_4">[耶]</i>不在的我小伙伴儿，我们下午见～～<i class="face face_2 icon_5">[太开心]</i><i class="face face_2 icon_5">[太开心]</i><i class="face face_2 icon_14">[挤眼]</i><i class="face face_2 icon_14">[挤眼]</i>	1259110474	赵丽颖	iPhone 6	06-03 07:25	null	null	4979	7208	118229	[4b0c804ajw1esqjqhayfyj20hs0dcjss,4b0c804ajw1esqjp644huj20hs0hsmyv,4b0c804ajw1esqjn6cd28j20hs0hsq5h,4b0c804ajw1esqjk6q5mwj20hs0hsgn5]	花千骨
3856664312997219	<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a><a class="k" href="/k/%E9%A9%AC%E5%8F%AF%E6%9D%80%E9%98%A1%E9%99%8C?from=feed">#马可杀阡陌#</a><a class="k" href="/k/%E9%9C%B8%E9%81%93%E6%9A%96%E5%90%9B%E6%9D%80%E9%98%A1%E9%99%8C?from=feed">#霸道暖君杀阡陌#</a>有多少人是冲着白子画去看的“花千骨”，却爱上了杀阡陌…	1870505580	_Suki恩	iPhone 6	06-22 22:38	null	null	502	279	2516	[6f7da66cjw1etd8w05attj20sg0lcgnu,6f7da66cjw1etd8w0quq0j20p00gndht,6f7da66cjw1etd8vzkzqij20no0zk772,6f7da66cjw1etd8vsjqtij20no0zk79w]	花千骨 马可杀阡陌 霸道暖君杀阡陌
3857227435756172	<a class="k" href="/k/%E4%BD%A0%E7%9A%84%E5%AE%AB%E9%93%83%E6%8E%89%E4%BA%86?from=feed">#你的宫铃掉了#</a><a class="k" href="/k/%E9%9C%8D%E5%BB%BA%E5%8D%8E?from=feed">#霍建华#</a><a class="k" href="/k/%E9%9C%8D%E5%BB%BA%E5%8D%8E%E7%99%BD%E5%AD%90%E7%94%BB?from=feed">#霍建华白子画#</a><a class="k" href="/k/%E5%B0%8A%E4%B8%8A%E4%B9%88%E4%B9%88%E5%93%92?from=feed">#尊上么么哒#</a>师父，我的心掉了[尊上么么哒][尊上么么哒][尊上么么哒]//<a href="/n/%E9%9C%8D%E5%BB%BA%E5%8D%8E%E8%B4%B4%E5%90%A7">@霍建华贴吧</a>:<a class="k" href="/k/%E5%B0%8A%E4%B8%8A%E4%B9%88%E4%B9%88%E5%93%92?from=feed">#尊上么么哒#</a> <a class="k" href="/k/%E9%9C%8D%E5%BB%BA%E5%8D%8E%E7%99%BD%E5%AD%90%E7%94%BB?from=feed">#霍建华白子画#</a> <a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a> 师父，我的宫铃掉了<i class="face face_1 icon_15">[害羞]</i><i class="face face_1 icon_15">[害羞]</i>[尊上么么哒][尊上么么哒][尊上么么哒]<a class="k" href="/k/%E9%9C%8D%E5%BB%BA%E5%8D%8E?from=feed">#霍建华#</a><a class="k" href="/k/%E4%B8%87%E8%83%BD%E7%94%B7%E5%8F%8B%E7%99%BD%E5%AD%90%E7%94%BB?from=feed">#万能男友白子画#</a> <a class="k" href="/k/%E5%B8%85%E8%A3%82%E8%8B%8D%E7%A9%B9?from=feed">#帅裂苍穹#</a>	2047308311	小倩yy55	三星Galaxy SIII	2分钟前	3857054198894515	3857178538835350	0	0	3	[]	你的宫铃掉了 霍建华 霍建华白子画 尊上么么哒 花千骨 万能男友白子画 帅裂苍穹 长留上仙白子画 霍建华白子画 帅裂苍穹 花千骨 画骨师徒日常
3857227800524727	转发微博	2832844084	多啦A爱梦的口袋	Android	1分钟前	3857209156968609	null	0	0	0	[]	花千骨 偏偏喜欢你
3857051555659672	<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a> 你的宫铃。不，是你的宫铃。<i class="face face_2 icon_20">[拜拜]</i><i class="face face_2 icon_20">[拜拜]</i>当糖宝不存在是不是...	5099675590	电视剧花千骨	iPhone客户端	今天 00:16	3857047978016582	null	461	457	3358	[]	花千骨 花千骨
3857183210519895	<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a> 本虫一大早就爆大尺度图，真的合适吗？合适吗？<i class="face face_1 icon_3">[哈哈]</i> “禁欲系冰山美男”白子画露真身，半褪的衣衫，宽厚的裸背......[震惊] 这，这事儿可和本虫无关，都是骨头娘亲，用观微之术偷窥师父，结果......结果就是大家都有眼福啦 <i class="face face_1 icon_19">[笑cry]</i> <a href="/n/%E5%8D%8E%E6%9D%B0%E5%B7%A5%E4%BD%9C%E5%AE%A4">@华杰工作室</a><a href="/n/%E8%B5%B5%E4%B8%BD%E9%A2%96">@赵丽颖</a><a href="/n/%E5%AE%89%E6%82%A6%E6%BA%AA">@安悦溪</a><a href="/n/%E5%94%90%E4%B8%BD%E5%90%9B">@唐丽君</a><a href="/n/%E6%85%88%E6%96%87%E4%BC%A0%E5%AA%92">@慈文传媒</a><a href="/n/%E7%88%B1%E5%A5%87%E8%89%BA%E7%94%B5%E8%A7%86%E5%89%A7">@爱奇艺电视剧</a>	5099675590	电视剧花千骨	微博 weibo.com	今天 09:00	null	null	668	753	3009	[005z7IA6jw1etete8k5l1j30qe0euq6m,005z7IA6jw1etete9vz07j30qe0hl0y4,005z7IA6jw1etetebmdp5j30hl0qeq6g,005z7IA6jw1etetecslb0j30qe0etgpc,005z7IA6jw1etetedzfvsj30qe0eutc3]	花千骨
3857227796862656	哈哈哈哈哈哈哈//<a href="/n/%E7%8E%B0%E5%85%85%E5%8C%BB%E7%94%9F%E7%9A%84%E6%87%92%E6%83%B0%E5%A6%BB">@现充医生的懒惰妻</a>:哈哈哈哈哈哈哈	2704167310	Sunshow_薛炎七	华为Ascend P7	1分钟前	3854708911003395	3857226358164888	0	0	0	[]	花千骨 杀姐姐初遇花千骨
3857227796862210	<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a>真心觉得霍建华演技不错！	3181498410	住在海边不会游泳	iPhone 6	1分钟前	null	null	0	0	0	[bda1d02ajw1etf1lri22mj20fa08kmxv]	花千骨
3857227796862206	//<a href="/n/%E7%94%B5%E8%A7%86%E5%89%A7%E8%8A%B1%E5%8D%83%E9%AA%A8">@电视剧花千骨</a>:<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a> 单身虫受到了一万点伤害<i class="face face_2 icon_20">[拜拜]</i><i class="face face_2 icon_20">[拜拜]</i>	3884516576	水晶之恋小绵羊	小米手机4	1分钟前	3857225774872947	3857226437926487	0	0	0	[]	花千骨 花千骨 花千骨赵丽颖
3857178538835350	<a class="k" href="/k/%E5%B0%8A%E4%B8%8A%E4%B9%88%E4%B9%88%E5%93%92?from=feed">#尊上么么哒#</a> <a class="k" href="/k/%E9%9C%8D%E5%BB%BA%E5%8D%8E%E7%99%BD%E5%AD%90%E7%94%BB?from=feed">#霍建华白子画#</a> <a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a> 师父，我的宫铃掉了<i class="face face_1 icon_15">[害羞]</i><i class="face face_1 icon_15">[害羞]</i>[尊上么么哒][尊上么么哒][尊上么么哒]<a class="k" href="/k/%E9%9C%8D%E5%BB%BA%E5%8D%8E?from=feed">#霍建华#</a><a class="k" href="/k/%E4%B8%87%E8%83%BD%E7%94%B7%E5%8F%8B%E7%99%BD%E5%AD%90%E7%94%BB?from=feed">#万能男友白子画#</a> <a class="k" href="/k/%E5%B8%85%E8%A3%82%E8%8B%8D%E7%A9%B9?from=feed">#帅裂苍穹#</a>	1918601565	霍建华贴吧	WeicoiPad	今天 08:41	3857054198894515	null	160	106	839	[]	尊上么么哒 霍建华白子画 花千骨 霍建华 万能男友白子画 帅裂苍穹 长留上仙白子画 霍建华白子画 帅裂苍穹 花千骨 画骨师徒日常
3857223191577497	<a class="k" href="/k/%E4%B8%8A%E4%BB%99%E8%AF%B7%E6%94%B6%E6%88%91%E4%B8%BA%E5%BE%92?from=feed">#上仙请收我为徒#</a> <a class="k" href="/k/%E9%9C%8D%E5%BB%BA%E5%8D%8E%E7%99%BD%E5%AD%90%E7%94%BB?from=feed">#霍建华白子画#</a> 转发微博赢尊上Q版杯子喽~ 想让尊上陪你度过每一天吗？快来参与活动<i class="face face_1 icon_26">[色]</i>[尊上么么哒][尊上么么哒] <a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a> <a class="k" href="/k/%E9%9C%8D%E5%BB%BA%E5%8D%8E?from=feed">#霍建华#</a>	1918601565	霍建华贴吧	360安全浏览器	19分钟前	3857217998111014	null	43	15	113	[]	上仙请收我为徒 霍建华白子画 花千骨 霍建华 花千骨 霍建华
3857216379956693	<a class="k" href="/k/%E4%B8%8A%E4%BB%99%E8%AF%B7%E6%94%B6%E6%88%91%E4%B8%BA%E5%BE%92?from=feed">#上仙请收我为徒#</a> <a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a> <a class="k" href="/k/%E9%9C%8D%E5%BB%BA%E5%8D%8E%E7%99%BD%E5%AD%90%E7%94%BB?from=feed">#霍建华白子画#</a> <a class="k" href="/k/%E9%9C%8D%E5%BB%BA%E5%8D%8E?from=feed">#霍建华#</a> 人人都想做尊上的徒弟[尊上么么哒]！要怎样才能脱颖而出<i class="face face_2 icon_17">[疑问]</i>？按照图中所示，拍照秀出你的拜师宣言[好爱哦]，按顺序带最左边四个话题发博，并且<a href="/n/%E9%9C%8D%E5%BB%BA%E5%8D%8E%E8%B4%B4%E5%90%A7">@霍建华贴吧</a> <a href="/n/%E7%88%B1%E5%A5%87%E8%89%BA">@爱奇艺</a>。我们将在今天活动结束后，抽取2名送尊上签！名！照！ <a class="k" href="/k/%E4%BD%A0%E7%9A%84%E5%AE%AB%E9%93%83%E6%8E%89%E4%BA%86?from=feed">#你的宫铃掉了#</a>	1918601565	霍建华贴吧	微博 weibo.com	46分钟前	null	null	64	32	182	[725b895dgw1etf05a2kddj20c90lddhe,725b895dgw1etf05b32xjj20ho0seq6e,725b895dgw1etf05cjk15j20d00lm0vb,725b895dgw1etf05dtauxj20ho0rtgpl,725b895dgw1etf05fgyhyj20ho0sv780,725b895dgw1etf05gvjzaj20h50umn1g,725b895dgw1etf05hyt2qj20ho0tnq6u,725b895dgw1etf05jhq14j20h20u2gp7,725b895dgw1etf05krmvzj20ho0tntco]	上仙请收我为徒 花千骨 霍建华白子画 霍建华 你的宫铃掉了
3856189563817883	<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a><a class="k" href="/k/%E7%88%B6%E4%BA%B2%E8%8A%82?from=feed">#父亲节#</a> 家有两“糖宝”，“东方粑粑”幸福家庭生活终开启，大家不要羡慕我哦！<i class="face face_1 icon_15">[害羞]</i>我们“糖宝”的小妹妹马上出世啦！！你们说是大糖宝可爱，还是小糖宝可爱！<i class="face face_1 icon_1">[微笑]</i><i class="face face_1 icon_1">[微笑]</i>	1227328177	张丹峰	iPhone 6 Plus	06-21 15:11	null	null	3186	4202	20919	[49278ab1jw1etbqc9jur7j20k20af0u0,49278ab1jw1etbqca9diuj20dc0hs761,49278ab1jw1etbqcarnthj20dc0hsdhk]	花千骨 父亲节
3857084258949590	<a class="k" href="/k/%E9%9C%8D%E5%BB%BA%E5%8D%8E%E7%99%BD%E5%AD%90%E7%94%BB?from=feed">#霍建华白子画#</a><a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a>已经可以较为细致脑补小说后面的画面了，绝情殿相伴，师父真的是悉心太悉心甚至无微不至地教导啊，有这样老师的学生技术理论样样过硬，有这样老师的学生超级幸福啊，这就是中科院院士＋驾校首席教练＋心理导师＋老公的高能配置啊，，，你的宫铃掉了，，以后小心点(๑• . •๑)	3117040717	谁动了狗妹的奶酪	荣耀6	今天 02:26	null	null	97	1	633	[b9ca444djw1etel4axkcvj21jk111wr3]	霍建华白子画 花千骨
3857184339188578	花千骨虽然如愿当上白子画的徒弟，却被霓漫天暗中下毒生死一线，白子画不惜以百年功力相救，令心系子画的紫熏上仙黯然神伤。而霓漫天因妒生恨剑刺糖宝，不料糖宝反而借机化作人形，变身萌妹子的糖宝卖乖吃货两不误，令十一师兄开心不已，“人虫虐恋”隐隐拉开帷幕。今晚十点，<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a>继续播出。	1904671130	湖南卫视贴吧	iPhone 6	今天 09:04	null	null	233	143	1242	[7186f99ajw1etewm0coznj20qe0eutbs,7186f99ajw1etewm27m4nj20qe0hlgpn,7186f99ajw1etewm30whrj20hl0qejue,7186f99ajw1etewm3wmgzj20qe0etad8,7186f99ajw1etewlzhfmwj20qe0eudin]	花千骨
3853744011467051	是不是快中考了？好好考试！考完试看电视！[偷乐][偷乐]<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a>	1259110474	赵丽颖	iPhone 6	06-14 21:13	null	null	12186	18857	184672	[4b0c804ajw1et3xg553h2j20k00qoav1,4b0c804ajw1et3xhso49yj20dc0hsaci]	花千骨
3857047978016582	<a class="k" href="/k/%E8%8A%B1%E5%8D%83%E9%AA%A8?from=feed">#花千骨#</a>从今以后，你就是我长留上仙白子画的徒弟。我白子画，此生只收一个徒弟。<i class="face face_3 icon_12">[鲜花]</i><i class="face face_3 icon_16">[月亮]</i>晚安吧。	5099675590	电视剧花千骨	iPhone客户端	今天 00:02	null	null	1722	903	4687	[005z7IA6jw1etegyauzduj30qe0eutax]	花千骨
